 hr@pmiltd-eg.com,Engineering,egypt,,,,,
 info@engisports.com,Engineering,egypt,,,,,
 info@mpm-me.com,Engineering,egypt,,,,,
 ridg@ridg-group.com,Engineering,egypt,,,,,
 info@entrust-dmc.com,Engineering,egypt,,,,,
 aodeh@tcco.com,Engineering,egypt,,,,,
 info@progress-eg.com,Engineering,egypt,,,,,
 info@icbegypt.com,Engineering,egypt,,,,,
 res@ie-eg.com,Engineering,egypt,,,,,
 rs@rs-eg.com,Engineering,egypt,,,,,
 info@techno-management.com,Engineering,egypt,,,,,
 info@pmiltd-eg.com,Engineering,egypt,,,,,
 recruit@acg-egypt.com,Engineering,egypt,,,,,
 info@b2lsconsulting.com,Engineering,egypt,,,,,
 mmamoun@optimarpm.com,Engineering,egypt,,,,,
 info@ace-consultants.com,Engineering,egypt,,,,,
 Jobs@aecom.com.,Engineering,egypt,,,,,
 wyn@worldwide-rs.com,Engineering,egypt,,,,,
 mimary_group.com,Engineering,egypt,,,,,
 jobs@zfpcairo.com,Engineering,egypt,,,,,
 cv@icestate.com,Engineering,egypt,,,,,
 jobscareer73.com,Engineering,egypt,,,,,
 M.yousef@focus-engineering.com,Engineering,egypt,,,,,
 ho@archgroup.ae,Engineering,egypt,,,,,
 elfateh@datum.com,Engineering,egypt,,,,,
 shoeman@elshams.com,Engineering,egypt,,,,,
 hr@zamilsteel.com.eg,Engineering,egypt,,,,,
 info@wdpipes.com,Engineering,egypt,,,,,
 hr@wdpipes.com,Engineering,egypt,,,,,
 marasem@marasem-cairo.com,Engineering,egypt,,,,,
 mpf@internetegypt.com,Engineering,egypt,,,,,
 careersmisr@emaar.ae,Engineering,egypt,,,,,
 cv@higharch.net,Engineering,egypt,,,,,
 careers@esac.com.eg,Engineering,egypt,,,,,
 hrmconsult.com,Engineering,egypt,,,,,
 qan.et.com,Engineering,egypt,,,,,
 jobshassan.com,Engineering,egypt,,,,,
 Artography2009.com,Engineering,egypt,,,,,
 Primecairo.jobs.com,Engineering,egypt,,,,,
 jobs@burhanholding.com,Engineering,egypt,,,,,
 nourhan@careerservicesegypt.com,Engineering,egypt,,,,,
 Cairo1908.com,Engineering,egypt,,,,,
 rgegypt.com,Engineering,egypt,,,,,
 jobs@nuqulgroup.com,Engineering,egypt,,,,,
 Demo_r236.com,Engineering,egypt,,,,,
 applycairo@lotusgroup.com,Engineering,egypt,,,,,
 info@elhazek.com,Engineering,egypt,,,,,
 m_killeeny.com,Engineering,egypt,,,,,
 answahdan.com,Engineering,egypt,,,,,
 info@skyplaza-egypt.com,Engineering,egypt,,,,,
 qaqcm@commodore.ae,Engineering,egypt,,,,,
 Ashraf.karakish@chemonicsegypt.com,Engineering,egypt,,,,,
 hbrammer@bbtuae.com,Engineering,egypt,,,,,
